language,wals,metric,algorithm,value,run_id
KAIGANG,kng,del-verses,gzip,-0.8852476410089549,5
KAIGANG,kng,del-verses,gzip,-0.8857427815581366,6
KAIGANG,kng,del-verses,gzip,-0.8864642720726583,7
KAIGANG,kng,del-verses,gzip,-0.882241430531781,8
KAIGANG,kng,del-verses,gzip,-0.888784359217395,9
KAIWÁ,kaw,del-verses,gzip,-0.8860843046757473,0
KAIWÁ,kaw,del-verses,gzip,-0.8940153709180593,1
KAIWÁ,kaw,del-verses,gzip,-0.8855777397996254,2
KAIWÁ,kaw,del-verses,gzip,-0.8907354912655935,3
KAIWÁ,kaw,del-verses,gzip,-0.8846567127521312,4
KAIWÁ,kaw,del-verses,gzip,-0.8884431572807188,5
KAIWÁ,kaw,del-verses,gzip,-0.8905922203915388,6
KAIWÁ,kaw,del-verses,gzip,-0.8853884175731961,7
KAIWÁ,kaw,del-verses,gzip,-0.888494325450024,8
KAIWÁ,kaw,del-verses,gzip,-0.8823490283164649,9
KARAJÁ,jva,del-verses,gzip,-0.8876535309220722,0
KARAJÁ,jva,del-verses,gzip,-0.8848855409145933,1
KARAJÁ,jva,del-verses,gzip,-0.884330400857383,2
KARAJÁ,jva,del-verses,gzip,-0.8864738583005004,3
KARAJÁ,jva,del-verses,gzip,-0.8882086709792825,4
KARAJÁ,jva,del-verses,gzip,-0.8858261949004218,5
KARAJÁ,jva,del-verses,gzip,-0.8823565695428576,6
KARAJÁ,jva,del-verses,gzip,-0.8879156803935326,7
KARAJÁ,jva,del-verses,gzip,-0.8887252596436309,8
KARAJÁ,jva,del-verses,gzip,-0.8848932511931656,9
KASHINAWA,csh,del-verses,gzip,-0.8821080655896412,0
KASHINAWA,csh,del-verses,gzip,-0.8855388152719792,1
KASHINAWA,csh,del-verses,gzip,-0.8812851697222727,2
KASHINAWA,csh,del-verses,gzip,-0.8802747020027833,3
KASHINAWA,csh,del-verses,gzip,-0.8908089792460822,4
KASHINAWA,csh,del-verses,gzip,-0.8826163248018394,5
KASHINAWA,csh,del-verses,gzip,-0.8853996490591154,6
KASHINAWA,csh,del-verses,gzip,-0.8868397168270103,7
KASHINAWA,csh,del-verses,gzip,-0.8834876263084649,8
KASHINAWA,csh,del-verses,gzip,-0.8843649785199976,9
KAYABÍ,kyz,del-verses,gzip,-0.878310780322842,0
KAYABÍ,kyz,del-verses,gzip,-0.8889217736418462,1
KAYABÍ,kyz,del-verses,gzip,-0.8849917761162891,2
KAYABÍ,kyz,del-verses,gzip,-0.8867627009271883,3
KAYABÍ,kyz,del-verses,gzip,-0.8860203680612497,4
KAYABÍ,kyz,del-verses,gzip,-0.8909158834974067,5
KAYABÍ,kyz,del-verses,gzip,-0.8838661471953888,6
KAYABÍ,kyz,del-verses,gzip,-0.8828618144944131,7
KAYABÍ,kyz,del-verses,gzip,-0.8799895200065985,8
KAYABÍ,kyz,del-verses,gzip,-0.8811491118690777,9
KAYAPÓ,kyp,del-verses,gzip,-0.8937764050129584,0
KAYAPÓ,kyp,del-verses,gzip,-0.8886082497755733,1
KAYAPÓ,kyp,del-verses,gzip,-0.8843783759110205,2
KAYAPÓ,kyp,del-verses,gzip,-0.8875025992929924,3
KAYAPÓ,kyp,del-verses,gzip,-0.8893132287529987,4
KAYAPÓ,kyp,del-verses,gzip,-0.8852405804157855,5
KAYAPÓ,kyp,del-verses,gzip,-0.8840487094827281,6
KAYAPÓ,kyp,del-verses,gzip,-0.8898051924998351,7
KAYAPÓ,kyp,del-verses,gzip,-0.8828568385496706,8
KAYAPÓ,kyp,del-verses,gzip,-0.8848804832402659,9
KUBEO,cub,del-verses,gzip,-0.8877805199362592,0
KUBEO,cub,del-verses,gzip,-0.8866702333902858,1
KUBEO,cub,del-verses,gzip,-0.8817803703639784,2
KUBEO,cub,del-verses,gzip,-0.8882464951187662,3
KUBEO,cub,del-verses,gzip,-0.8847315465198557,4
KUBEO,cub,del-verses,gzip,-0.8896099039861013,5
KUBEO,cub,del-verses,gzip,-0.8939532529094685,6
KUBEO,cub,del-verses,gzip,-0.8909618072933745,7
KUBEO,cub,del-verses,gzip,-0.8892072093839348,8
KUBEO,cub,del-verses,gzip,-0.8860661914870361,9
MACUSHI,mac,del-verses,gzip,-0.8847477922466697,0
MACUSHI,mac,del-verses,gzip,-0.8829516539440203,1
MACUSHI,mac,del-verses,gzip,-0.8859392306540937,2
MACUSHI,mac,del-verses,gzip,-0.8866576859751534,3
MACUSHI,mac,del-verses,gzip,-0.8891124083221075,4
MACUSHI,mac,del-verses,gzip,-0.8851070199071995,5
MACUSHI,mac,del-verses,gzip,-0.8835683280945966,6
MACUSHI,mac,del-verses,gzip,-0.8816284987277354,7
MACUSHI,mac,del-verses,gzip,-0.8880167639574914,8
MACUSHI,mac,del-verses,gzip,-0.88643616225116,9
MAKUNA,mcn,del-verses,gzip,-0.8876345530309183,0
MAKUNA,mcn,del-verses,gzip,-0.8885529184653926,1
MAKUNA,mcn,del-verses,gzip,-0.8867349297481679,2
MAKUNA,mcn,del-verses,gzip,-0.8833550950539462,3
MAKUNA,mcn,del-verses,gzip,-0.8878219745481579,4
MAKUNA,mcn,del-verses,gzip,-0.8859914910631174,5
MAKUNA,mcn,del-verses,gzip,-0.8890464617941237,6
MAKUNA,mcn,del-verses,gzip,-0.8864100657849525,7
MAKUNA,mcn,del-verses,gzip,-0.8930322927274204,8
MAKUNA,mcn,del-verses,gzip,-0.8847919933527835,9
MATSÉS,myr,del-verses,gzip,-0.8872558797979473,0
MATSÉS,myr,del-verses,gzip,-0.8812779511598726,1
MATSÉS,myr,del-verses,gzip,-0.8886264920691097,2
MATSÉS,myr,del-verses,gzip,-0.8854734403654966,3
MATSÉS,myr,del-verses,gzip,-0.8853318747788038,4
MATSÉS,myr,del-verses,gzip,-0.8867346610469419,5
MATSÉS,myr,del-verses,gzip,-0.8915929345902641,6
MATSÉS,myr,del-verses,gzip,-0.884598307647759,7
MATSÉS,myr,del-verses,gzip,-0.8847784820308227,8
MATSÉS,myr,del-verses,gzip,-0.885145265596345,9
MAXAKALI,max,del-verses,gzip,-0.8895835490319446,0
MAXAKALI,max,del-verses,gzip,-0.8844466036428509,1
MAXAKALI,max,del-verses,gzip,-0.887759734312406,2
MAXAKALI,max,del-verses,gzip,-0.8884128033386163,3
MAXAKALI,max,del-verses,gzip,-0.8841837831810833,4
MAXAKALI,max,del-verses,gzip,-0.8912560428795565,5
MAXAKALI,max,del-verses,gzip,-0.8925382881627257,6
MAXAKALI,max,del-verses,gzip,-0.8887313735953043,7
MAXAKALI,max,del-verses,gzip,-0.8930878218555125,8
